age range	condition	symptoms	treatment	follow-up	severity
0-2	Very Severe Disease	not feeding well;convulsions;fast breathing (60 breaths per minute or more);severe chest indrawing;fever (37.5�C above);low body temperature (less than 35.5�C);movement only when stimulated or no movement at all	give first dose of intramuscular antibiotics;treat to prevent low blood sugar;refer URGENTLY to hospital;advise mother how to keep the infant warm on the way to the hospital		Pink
0-2	Local Bacterial Infection	umbilicus red; draining pus;skin pustules	give an appropriate oral antibiotic;teach the mother to treat local infections at home;advise mother to give home care for the young infant	follow-up in 2 days	Yellow
0-2	Severe Disease or Local Infection Unlikely	none of the signs of very severe disease or local bacterial infection	advise mother to give home care		Green
0-2	Severe Jaundice	any jaundice if age less than 24 hours;yellow palms and soles	Treat to prevent low blood sugar;refer URGENTLY to hospital;advise mother how to keep the infant warm on the way to the hospital		Pink
0-2	Jaundice	jaundice appearing after 24 hours of age;palms and soles not yellow	advise the mother to give home care for the young infant;advise mother to return immediately if palms and soles appear yellow;if the young infant is older than 14 days refer to hospital for assessment	follow-up in 1 day	Yellow
0-2	Severe Dehydration	movement only when stimulated or no movement at all; sunken eyes;skin pinch goes back very slowly;diarrhea	If the infant has no other severe classification give fluid for severe dehydration (Plan C); if infant also has another severe classification refer URGENTLY to hospital with mother giving frequent sips of ORS on the way and advise the mother to continue breastfeeding		Pink
0-2	Some Dehydration	restless and irritable;sunken eyes;skin pinch goes back slowly;diarrhea	give fluid and breast milk for some dehydration (Plan B);if infant also has another severe classification refer URGENTLY to hospital with mother giving frequent sips of ORS on the way and advise the mother to continue breastfeeding; advise mother when to return immediately	follow-up in 2 days if not improving	Yellow
0-2	Confirmed HIV Infection	positive virological test	give cotrimoxazole prophylaxis from age 4-6 weeks;give HIV ART and care;advise the mother on home care	follow-up regularly as per national guidelines	Yellow
0-2	HIV Exposed	Mother HIV-positive	give cotrimoxazole prophylaxis from age 4-6 weeks;start or continue PMTCT ARV prophylaxis as per national recommendations;do virological test at age 4-6 weeks or repeat 6 weeks after the child stops breastfeeding;advise the mother on home care	follow-up regularly as per national guidelines	Yellow
0-2	HIV Infection Unlikely	Negative HIV test in mother or young infant	"treat, counsel and follow-up existing infections"		Green
